iter	Passed	Remaining
272	293	780
273	293	777
274	293	775
275	294	772
276	294	769
277	295	767
278	295	764
279	296	761
280	296	759
281	297	756
282	297	754
283	298	751
284	298	748
285	298	746
286	299	743
287	299	741
288	300	738
289	300	736
290	301	733
291	301	731
292	302	728
293	302	726
294	302	724
295	303	721
296	303	719
297	304	716
298	304	714
299	305	712
300	305	709
301	306	707
302	306	705
303	306	702
304	307	700
305	307	698
306	308	695
307	308	693
308	309	691
309	309	689
310	310	687
311	310	684
312	310	682
313	311	680
314	311	678
315	312	675
316	312	673
317	313	671
318	313	669
319	314	667
320	314	665
321	314	663
322	315	660
323	315	658
324	316	656
325	316	654
326	317	652
327	317	650
328	318	648
329	318	646
330	318	644
331	319	642
332	319	640
333	320	638
334	320	636
335	321	634
336	321	632
337	322	630
338	322	628
339	323	627
340	323	625
341	324	623
342	324	621
343	325	620
344	325	618
345	326	616
346	326	614
347	327	612
348	327	610
349	327	608
350	328	607
351	328	605
352	329	603
353	329	601
354	330	599
355	330	598
356	331	596
357	331	594
358	331	592
359	332	590
360	332	589
361	333	587
362	333	585
363	334	584
364	334	582
365	335	580
366	335	578
367	336	577
368	336	575
369	337	573
370	337	572
371	337	570
372	338	568
373	338	567
374	339	565
375	339	563
376	340	562
377	340	560
378	341	558
379	341	557
380	341	555
381	342	553
382	342	552
383	343	550
384	343	549
385	344	547
386	344	545
387	345	544
388	345	542
389	346	541
390	346	539
391	346	537
392	347	536
393	347	534
394	348	533
395	348	531
396	349	530
397	349	528
398	349	527
399	350	525
400	350	524
401	351	522
402	351	521
403	352	519
404	353	518
405	353	517
406	354	515
407	354	514
408	355	513
409	355	511
410	356	510
411	356	509
412	357	507
413	357	506
414	358	505
415	358	503
416	359	502
417	359	501
418	360	499
419	360	498
420	361	496
421	361	495
422	362	494
423	362	492
424	363	491
425	363	489
426	364	488
427	364	487
428	364	485
429	365	484
430	365	483
431	366	481
432	366	480
433	367	478
434	367	477
435	368	476
436	368	474
437	369	473
438	369	472
439	369	470
440	370	469
441	370	468
442	371	466
443	371	465
444	372	464
445	372	462
446	373	461
447	373	460
448	373	458
449	374	457
450	374	456
451	375	455
452	375	453
453	376	452
454	376	451
455	377	450
456	377	448
457	378	447
458	378	446
459	379	445
460	379	443
461	380	442
462	380	441
463	381	440
464	381	439
465	382	438
466	382	436
467	383	435
468	383	434
469	384	433
470	384	431
471	384	430
472	385	429
473	385	428
474	386	426
475	386	425
476	387	424
477	387	423
478	388	422
479	388	421
480	389	419
481	389	418
482	390	417
483	390	416
484	391	415
485	391	414
486	391	412
487	392	411
488	392	410
489	393	409
490	393	408
491	394	406
492	394	405
493	395	404
494	395	403
495	395	402
496	396	401
497	396	400
498	397	398
499	397	397
500	398	396
501	398	395
502	399	394
503	399	393
504	399	392
505	400	390
506	400	389
507	401	388
508	401	387
509	402	386
510	402	385
511	403	384
512	403	383
513	404	382
514	404	380
515	404	379
516	405	378
517	405	377
518	406	376
519	406	375
520	407	374
521	407	373
522	408	372
523	408	371
524	409	370
525	409	369
526	410	368
527	410	367
528	411	365
529	411	364
530	411	363
531	412	362
532	412	361
533	413	360
534	413	359
535	414	358
536	414	357
537	415	356
538	415	355
539	416	354
540	416	353
541	416	352
542	417	351
543	417	350
544	418	349
545	418	348
546	419	347
547	419	346
548	420	345
549	420	344
550	421	343
551	421	342
552	421	341
553	422	340
554	422	339
555	423	338
556	423	337
557	424	336
558	424	335
559	425	334
560	425	333
561	426	332
562	426	331
563	427	330
564	427	329
565	427	328
566	428	327
567	428	326
568	429	325
569	429	324
570	430	323
571	430	322
572	431	321
573	431	320
574	431	319
575	432	318
576	432	317
577	433	316
578	433	315
579	434	314
580	434	313
581	435	312
582	435	311
583	435	310
584	436	309
585	436	308
586	437	307
587	437	306
588	438	305
589	438	304
590	439	303
591	439	302
592	440	302
593	440	301
594	440	300
595	441	299
596	441	298
597	442	297
598	442	296
599	443	295
600	443	294
601	444	293
602	444	292
603	444	291
604	445	290
605	445	289
606	446	288
607	446	287
608	447	287
609	447	286
610	447	285
611	448	284
612	448	283
613	449	282
614	449	281
615	450	280
616	450	279
617	451	278
618	451	278
619	452	277
620	452	276
621	453	275
622	453	274
623	453	273
624	454	272
625	454	271
626	455	270
627	455	269
628	456	268
629	456	268
630	456	267
631	457	266
632	457	265
633	458	264
634	458	263
635	459	262
636	459	261
637	460	261
638	460	260
639	460	259
640	461	258
641	461	257
642	462	256
643	462	255
644	463	254
645	463	254
646	464	253
647	464	252
648	465	251
649	465	250
650	465	249
651	466	248
652	466	248
653	467	247
654	467	246
655	468	245
656	468	244
657	468	243
658	469	242
659	469	242
660	470	241
661	470	240
662	471	239
663	471	238
664	472	237
665	472	237
666	473	236
667	473	235
668	474	234
669	474	233
670	474	232
671	475	232
672	475	231
673	476	230
674	476	229
675	477	228
676	477	227
677	478	227
678	478	226
679	479	225
680	479	224
681	480	223
682	480	223
683	481	222
684	481	221
685	481	220
686	482	219
687	482	218
688	483	218
689	483	217
690	484	216
691	484	215
692	485	214
693	485	214
694	486	213
695	486	212
696	486	211
697	487	210
698	487	210
699	488	209
700	488	208
701	489	207
702	489	206
703	490	206
704	490	205
705	490	204
706	491	203
707	491	202
708	492	202
709	492	201
710	493	200
711	493	199
712	494	198
713	494	198
714	495	197
715	495	196
716	496	195
717	496	195
718	497	194
719	497	193
720	497	192
721	498	191
722	498	191
723	499	190
724	499	189
725	500	188
726	500	188
727	501	187
728	501	186
729	502	185
730	502	184
731	502	184
732	503	183
733	503	182
734	504	181
735	504	181
736	505	180
737	505	179
738	505	178
739	506	177
740	506	177
741	507	176
742	507	175
743	508	174
744	508	174
745	509	173
746	509	172
747	510	171
748	510	171
749	511	170
750	511	169
751	511	168
752	512	168
753	512	167
754	513	166
755	513	165
756	514	165
757	514	164
758	515	163
759	515	162
760	516	162
761	516	161
762	516	160
763	517	159
764	517	159
765	518	158
766	518	157
767	519	156
768	519	156
769	520	155
770	520	154
771	521	153
772	521	153
773	522	152
774	522	151
775	522	150
776	523	150
777	523	149
778	524	148
779	524	148
780	525	147
781	525	146
782	526	145
783	526	145
784	527	144
785	527	143
786	528	142
787	528	142
788	529	141
789	529	140
790	530	140
791	530	139
792	531	138
793	531	137
794	531	137
795	532	136
796	532	135
797	533	134
798	533	134
799	534	133
800	534	132
801	535	132
802	535	131
803	535	130
804	536	129
805	536	129
806	537	128
807	537	127
808	538	127
809	538	126
810	539	125
811	540	125
812	540	124
813	541	123
814	541	122
815	542	122
816	542	121
817	543	120
818	543	120
819	544	119
820	544	118
821	545	118
822	545	117
823	546	116
824	546	115
825	547	115
826	547	114
827	548	113
828	548	113
829	549	112
830	549	111
831	550	111
832	550	110
833	550	109
834	551	108
835	551	108
836	552	107
837	553	106
838	553	106
839	554	105
840	554	104
841	555	104
842	555	103
843	556	102
844	556	102
845	557	101
846	557	100
847	558	100
848	558	99
849	559	98
850	559	98
851	560	97
852	560	96
853	561	95
854	561	95
855	562	94
856	562	93
857	563	93
858	563	92
859	564	91
860	564	91
861	565	90
862	565	89
863	566	89
864	566	88
865	567	87
866	567	87
867	567	86
868	568	85
869	569	85
870	569	84
871	570	83
872	570	83
873	571	82
874	571	81
875	571	80
876	572	80
877	573	79
878	573	78
879	574	78
880	574	77
881	575	77
882	576	76
883	576	75
884	577	74
885	577	74
886	578	73
887	578	72
888	579	72
889	579	71
890	580	70
891	580	70
892	581	69
893	581	68
894	582	68
895	582	67
896	583	66
897	583	66
898	583	65
899	584	64
900	585	64
901	585	63
902	586	62
903	586	62
904	587	61
905	587	60
906	588	60
907	588	59
908	588	58
909	589	58
910	589	57
911	590	56
912	590	56
913	591	55
914	591	54
915	592	54
916	592	53
917	593	52
918	593	52
919	594	51
920	594	50
921	594	50
922	595	49
923	595	49
924	596	48
925	596	47
926	597	47
927	597	46
928	598	45
929	598	45
930	599	44
931	599	43
932	600	43
933	600	42
934	600	41
935	601	41
936	601	40
937	602	39
938	602	39
939	603	38
940	603	37
941	604	37
942	604	36
943	605	35
944	605	35
945	605	34
946	606	33
947	606	33
948	607	32
949	607	31
950	608	31
951	608	30
952	609	30
953	609	29
954	610	28
955	610	28
956	611	27
957	611	26
958	612	26
959	612	25
960	613	24
961	613	24
962	614	23
963	614	22
964	615	22
965	615	21
966	616	21
967	616	20
968	617	19
969	617	19
970	618	18
971	618	17
972	619	17
973	619	16
974	620	15
975	620	15
976	621	14
977	621	13
978	621	13
979	622	12
980	622	12
981	623	11
982	623	10
983	624	10
984	624	9
985	625	8
986	625	8
987	626	7
988	626	6
989	627	6
990	627	5
991	628	5
992	628	4
993	628	3
994	629	3
995	629	2
996	630	1
997	630	1
998	631	0
999	631	0
